"SAMPLE_ID","SUBTYPE","CDH1","CSMD1","DMD","DST","FAT3","FLG","GATA3","HMCN1","HUWE1","MAP3K1","MUC16","PIK3CA","RUNX1","RYR2","SPTA1","SYNE1","TP53","TTN","USH2A","ZFHX4"
"TCGA-C8-A12Q-01","BRCA_Her2"," 0.7920"," 2.5088","-5.5382","-2.2251"," 0.6026","-1.1840"," 0.0040"," 0.0377"," 3.1552"," 0.7649","-1.2956"," 0.2831"," 0.5062","-0.7126","-0.6026","-1.9132"," 0.2476","-0.3855","-2.0865","-0.7934"
"TCGA-C8-A12T-01","BRCA_Her2"," 0.8693","-1.5602","-7.9915","-4.7023","-0.0522","-1.4069"," 1.6460","-0.2992","-0.5917"," 0.7153","-2.2078","-2.2158"," 0.1753","-1.6975","-1.6965","-2.9572","-2.5659","-1.5735","-2.3925","-1.1787"
"TCGA-C8-A12U-01","BRCA_LumB"," 0.9869","-2.6190","-9.3025","-2.1678","-4.3418","-4.4990"," 1.7181","-4.2941"," 0.9105","-2.0674","-1.9668","-1.5284","-0.5542","-0.9170","-0.4813"," 1.6190"," 1.8680","-0.7277","-3.6918","-0.7705"
"TCGA-C8-A12V-01","BRCA_Basal"," 0.1480","-1.3287","-3.3021","-2.4734","-2.5963","-2.1756","-0.6647","-1.9763"," 0.7058","-0.3279"," 0.6926","-1.1160","-0.7624","-0.1151"," 0.6169","-1.4805"," 1.1542"," 0.1151","-2.9964","-2.9497"
"TCGA-C8-A12W-01","BRCA_LumB"," 1.0666","-2.3784","-7.9059","-3.4440"," 1.0342","-0.7965"," 1.4480","-0.2030"," 2.0788","-0.6203"," 1.1056","-0.8760","-0.1187","-0.3570"," 0.4411","-1.3433"," 1.2442","-1.4932","-0.6407","-0.2575"
"TCGA-C8-A12X-01","BRCA_LumA"," 0.9326","-0.2198","-8.2417","-5.2694","-2.4440","-2.7192"," 2.1427","-3.5132","-0.3050","-2.3513","-0.2091","-2.5376","-2.9579","-0.4319"," 0.6305","-2.6607"," 0.8725","-1.6508","-1.3424","-3.1098"
"TCGA-C8-A12Y-01","BRCA_LumA"," 0.3059","-2.1541","-8.3528","-4.3594","-1.8804","-3.9215"," 1.8483","-2.6348","-2.5683","-0.3713","-2.0147","-0.5212"," 0.0859","-1.3692","-2.0929","-4.1289","-3.5758","-3.3344"," 0.4591","-2.8128"
"TCGA-C8-A12Z-01","BRCA_Her2"," 0.5410","-1.4872","-8.2521","-2.9479"," 0.1912","-0.7240"," 1.0593","-0.5724"," 1.7020"," 0.8821","-0.8602","-1.4999"," 0.0297"," 0.0135","-2.0929","-4.2466"," 1.1370","-1.6535","-0.4311","-0.7611"
"TCGA-C8-A130-01","BRCA_LumB"," 0.2730","-2.1028","-6.0771","-4.4593","-0.6727","-2.9146"," 0.7952","-1.4327","-0.5191","-1.3241","-2.2895","-1.8051"," 0.1125","-0.0663"," 0.1255","-3.1969","-2.4706","-0.2075"," 1.3200","-1.5582"
"TCGA-C8-A131-01","BRCA_Basal"," 0.5809","-2.9480","-6.9120","-4.0910","-1.1646","-3.0181","-0.5272","-0.2953","-1.4558","-1.6510","-1.7779","-2.3809","-0.1106","-0.8653","-1.6695","-4.1543"," 1.8815","-0.5278","-1.8664","-2.2886"
"TCGA-C8-A132-01","BRCA_LumA"," 0.8678","-1.3052","-4.0473","-1.5585","-0.1630","-0.0124"," 1.1197"," 0.9478"," 1.0653"," 1.4431","-1.1721","-0.6994"," 0.8977","-1.2249","-0.6819","-1.3832"," 0.1112","-0.7696","-1.7839","-0.3637"
"TCGA-C8-A133-01","BRCA_LumA"," 0.3188","-2.6137","-9.3883","-3.7135","-4.3418","-2.5159"," 2.1961","-6.0770","-1.7066","-2.4153","-1.7734","-2.1953","-1.4757"," 1.6369","-2.0929","-3.8030","-0.2371","-2.7911"," 0.0653","-3.9647"
